"date_time","temp","hr","QI","lobster_id","temperature","date2"
"12/8/18 21:39",17,38,0,"IV11","11",2018-12-08 21:39:00
"12/8/18 21:42",17,41,0,"IV11","11",2018-12-08 21:42:00
"12/8/18 21:45",17,39,0,"IV11","11",2018-12-08 21:45:00
"12/8/18 21:48",17,41,0,"IV11","11",2018-12-08 21:48:00
"12/8/18 21:51",7,40,0,"IV11","11",2018-12-08 21:51:00
"12/8/18 21:54",7,38,0,"IV11","11",2018-12-08 21:54:00
"12/8/18 21:57",7,39,0,"IV11","11",2018-12-08 21:57:00
"12/8/18 22:00",7,38,0,"IV11","11",2018-12-08 22:00:00
"12/8/18 22:03",7,41,0,"IV11","11",2018-12-08 22:03:00
"12/8/18 22:06",12,38,0,"IV11","11",2018-12-08 22:06:00
"12/8/18 22:09",17,39,0,"IV11","11",2018-12-08 22:09:00
"12/8/18 22:12",17,38,0,"IV11","11",2018-12-08 22:12:00
"12/8/18 22:15",17,39,0,"IV11","11",2018-12-08 22:15:00
"12/8/18 22:18",17,38,0,"IV11","11",2018-12-08 22:18:00
"12/8/18 22:21",12,41,0,"IV11","11",2018-12-08 22:21:00
"12/8/18 22:24",7,37,0,"IV11","11",2018-12-08 22:24:00
"12/8/18 22:27",7,38,0,"IV11","11",2018-12-08 22:27:00
"12/8/18 22:30",7,41,0,"IV11","11",2018-12-08 22:30:00
"12/8/18 22:33",7,28,0,"IV11","11",2018-12-08 22:33:00
"12/8/18 22:36",7,0,1,"IV11","11",2018-12-08 22:36:00
"12/8/18 22:39",7,43,0,"IV11","11",2018-12-08 22:39:00
"12/8/18 22:42",9,43,0,"IV11","11",2018-12-08 22:42:00
"12/8/18 22:45",17,42,0,"IV11","11",2018-12-08 22:45:00
"12/8/18 22:48",17,40,0,"IV11","11",2018-12-08 22:48:00
"12/8/18 22:51",17,40,0,"IV11","11",2018-12-08 22:51:00
"12/8/18 22:54",12,41,0,"IV11","11",2018-12-08 22:54:00
"12/8/18 22:57",7,40,0,"IV11","11",2018-12-08 22:57:00
"12/8/18 23:00",7,40,0,"IV11","11",2018-12-08 23:00:00
"12/8/18 23:03",7,38,0,"IV11","11",2018-12-08 23:03:00
"12/8/18 23:06",7,39,0,"IV11","11",2018-12-08 23:06:00
"12/8/18 23:09",7,38,0,"IV11","11",2018-12-08 23:09:00
"12/8/18 23:12",12,37,0,"IV11","11",2018-12-08 23:12:00
"12/8/18 23:15",17,37,0,"IV11","11",2018-12-08 23:15:00
"12/8/18 23:18",17,35,0,"IV11","11",2018-12-08 23:18:00
"12/8/18 23:21",17,33,0,"IV11","11",2018-12-08 23:21:00
"12/8/18 23:24",17,34,0,"IV11","11",2018-12-08 23:24:00
"12/8/18 23:27",17,35,0,"IV11","11",2018-12-08 23:27:00
"12/8/18 23:30",7,37,0,"IV11","11",2018-12-08 23:30:00
"12/8/18 23:33",7,38,0,"IV11","11",2018-12-08 23:33:00
"12/8/18 23:36",7,37,0,"IV11","11",2018-12-08 23:36:00
"12/8/18 23:39",7,44,0,"IV11","11",2018-12-08 23:39:00
"12/8/18 23:42",12,37,0,"IV11","11",2018-12-08 23:42:00
"12/8/18 23:45",14,35,0,"IV11","11",2018-12-08 23:45:00
"12/8/18 23:48",17,34,0,"IV11","11",2018-12-08 23:48:00
"12/8/18 23:51",17,34,0,"IV11","11",2018-12-08 23:51:00
"12/8/18 23:54",17,35,0,"IV11","11",2018-12-08 23:54:00
"12/8/18 23:57",17,37,0,"IV11","11",2018-12-08 23:57:00
"12/9/18",17,37,0,"IV11","11",NA
"12/9/18 0:03",7,43,0,"IV11","11",2018-12-09 00:03:00
"12/9/18 0:06",7,36,0,"IV11","11",2018-12-09 00:06:00
"12/9/18 0:09",7,46,0,"IV11","11",2018-12-09 00:09:00
"12/9/18 0:12",7,43,0,"IV11","11",2018-12-09 00:12:00
