"ID","smr_type","smr","spar","EPOC_full","end_EPOC_min","SMR_intergral_full","SMR_threshold","EPOC_1hr","MO2_1hr","EPOC_2hr","MO2_2hr","EPOC_3hr","MO2_3hr","EPOC_4hr","MO2_4hr","EPOC_5hr","MO2_5hr","end_EPOC.mmr","EPOC_mmr","MO2_mmr","MMR","MMR_percent","scaling_exponent_mmr","scaling_exponent_smr","temp"
"IV16","SMR_low15quant",0.456,0.3,1174.955,910,414.96,0.456,83.482,1.087,153.086,2.1,254.746,2.073,337.639,1.638,428.285,1.971,14,11.795,2.53,5.19660219118983,48.6856585691568,1,1,"16"
"IV16","SMR_low15quant",0.456,0.4,1184.605,915,417.24,0.456,98.266,1.208,163.571,1.975,262.708,2.066,348.419,1.781,436.244,1.959,17,10.777,2.579,5.19660219118983,49.6285823912472,1,1,"16"
"IV16","SMR_low15quant",0.456,0.5,1197.37,931,424.536,0.456,111.913,1.638,182.163,1.785,270.807,1.989,359.325,1.885,446.844,1.936,20,7.218,2.562,5.19660219118983,49.3014455550117,1,1,"16"
"IV16","SMR_low15quant",0.456,0.6,1209.304,949,432.744,0.456,116.678,2.013,200.814,1.806,283.382,1.86,368.704,1.896,457.026,1.956,17,2.484,2.59,5.19660219118983,49.8402591676348,1,1,"16"
"IV16","SMR_low15quant",0.456,0.7,1216.6,981,447.336,0.456,113.743,2.167,208.838,1.956,296.235,1.887,381.786,1.885,468.51,1.918,0,0,0,5.19660219118983,0,1,1,"16"
"IV16","SMR_low15quant",0.456,0.8,1221.351,1046,476.976,0.456,108.445,2.184,208.052,2.061,301.811,1.985,392.114,1.944,480.758,1.926,0,0,0,5.19660219118983,0,1,1,"16"
"IV16","SMR_low15quant",0.456,0.9,1237.053,1170,533.52,0.456,106.154,2.188,207.957,2.121,306.047,2.064,400.97,2.015,493.123,1.971,0,0,0,5.19660219118983,0,1,1,"16"
"IV16","SMR_low15quant",0.456,1,1244.998,1206,549.936,0.456,109.437,2.245,214.576,2.174,315.524,2.105,412.347,2.037,505.059,1.968,0,0,0,5.19660219118983,0,1,1,"16"
"IV15","SMR_low15quant",0.972,0.1,314.064,492,478.224,0.972,93.578,2.05,148.93,1.731,182.997,1.648,220.316,1.62,254.688,1.549,22,20.488,2.254,4.56462765252976,49.3797122477407,1,1,"26"
"IV15","SMR_low15quant",0.972,0.2,315.187,493,479.196,0.972,94.864,2.019,150.124,1.719,184.494,1.615,221.818,1.606,256.438,1.556,26,22.449,2.257,4.56462765252976,49.4454350235807,1,1,"26"
"IV15","SMR_low15quant",0.972,0.3,317.719,496,482.112,0.972,99.356,1.957,152.62,1.706,187.935,1.572,224.921,1.588,260.169,1.569,33,26.499,2.277,4.56462765252976,49.8835868625136,1,1,"26"
"IV15","SMR_low15quant",0.972,0.4,321.473,498,484.056,0.972,106.853,2.007,156.569,1.666,192.928,1.559,229.123,1.581,265.269,1.574,43,31.015,2.272,4.56462765252976,49.7740489027804,1,1,"26"
"IV15","SMR_low15quant",0.972,0.5,326.047,499,485.028,0.972,111.764,2.184,163.939,1.633,199.191,1.54,234.409,1.576,270.565,1.561,54,33.536,2.268,4.56462765252976,49.6864185349938,1,1,"26"
"IV15","SMR_low15quant",0.972,0.6,330.957,512,497.664,0.972,110.212,2.344,171.89,1.75,210.603,1.542,243.87,1.523,276.537,1.499,64,31.679,2.277,4.56462765252976,49.8835868625136,1,1,"26"
"IV15","SMR_low15quant",0.972,0.7,335.541,554,538.488,0.972,103.174,2.406,173.936,1.942,222.421,1.656,258.325,1.505,287.105,1.404,73,25.293,2.282,4.56462765252976,49.9931248222468,1,1,"26"
"IV15","SMR_low15quant",0.972,0.8,342.717,573,556.956,0.972,94.107,2.368,167.587,2.045,223.448,1.78,265.264,1.573,296.044,1.408,74,16.045,2.282,4.56462765252976,49.9931248222468,1,1,"26"
"IV15","SMR_low15quant",0.972,0.9,354.476,607,590.004,0.972,83.395,2.252,153.307,2.032,210.534,1.829,256.197,1.646,291.512,1.484,51,4.933,2.282,4.56462765252976,49.9931248222468,1,1,"26"
"IV15","SMR_low15quant",0.972,1,365.21,718,697.896,0.972,70,2.07,131.479,1.929,184.641,1.793,229.81,1.663,267.399,1.54,0,0,0,4.56462765252976,0,1,1,"26"
